priority_rank,asin,suggested_sku,account,impressions,clicks,conversions,units_sold,assigned_PH
117,B0F1CWQNRP,WCB7BM2PK+RPR44WH2PK,LEDSone UK,165,0,2,2,
118,B0GXB6JVLM,WCBTC140FG+RPR44WH,LEDSone UK,143,3,2,2,
119,B0B8J7B3XN,CRSF1205CO,LEDSone UK,140,1,2,2,
120,B0GXB6VRXQ,WCBTC100FG2PK+RPR44WH2PK,LEDSone UK,106,1,2,2,
121,B0CDLX5XG2,WLRPE27BM2PK+LDA60E278WW2PK,LEDSone UK,98,0,2,2,
122,B0DYDYF8GT,CRFF100YB+LHNSE27YB,LEDSone UK,90,0,2,2,
123,B0DP24XN58,12UK3P8A,DCVoltage UK,88,2,2,2,
124,B08V8VZTMZ,CRSF100RO+PHSH1PBRRO+LSCY290RO,DCVoltage UK,86,0,2,2,
125,B0D229XQNM,CBSF1002PK,LEDSone UK,85,2,2,2,
126,B0CJCFF5SY,LSSS300BI2PK+RPR44WH2PK,DCVoltage UK,74,0,2,2,
127,B0D4DX8WFJ,LBT1ZEYE,LEDSone UK,71,2,2,2,
128,B0DV5D8QP4,ENC8215,LEDSone UK,56,1,2,2,
129,B08YFHBJLF,CRSF2003CO+PHHN1PBRCO3PK+LSDO210BG3PK,DCVoltage UK,54,0,2,2,
130,B08V5DJWL9,CRSF100BS+PHCH1PBRBS+LSCY290BS,DCVoltage UK,53,0,2,2,
131,B0C5QKJZ9J,WCVCBM+RPR44WH,DCVoltage UK,52,0,2,2,
132,B0CBPQH72B,WCB4BS2PK+RPR44WH2PK,DCVoltage UK,49,0,2,2,
133,B0FMRL3D3P,CRSF100BM2PK+LHTTE27BM2PK,DCVoltage UK,43,0,2,2,
134,B0D6YLRXL6,CCGRNWH50,DCVoltage UK,39,0,2,2,
135,B0CTCN4DGB,CRSF100GB+CL3TBR+LHSHE27GB,LEDSone UK,35,0,2,2,
136,B0DTYYYWYG,LSSS300BG+RPR44WH,LEDSone UK,29,0,2,2,
137,B09D3YTMG9,PLDMRR+LDMST64E274,DCVoltage UK,21,0,2,2,
138,B08FXSCF48,LSFT220BL+RPR44WH,DCVoltage UK,10,0,2,2,
139,B09C5SYCR3,CRSF2003BB+PHSH1PBRYB3PK+LSDO210BB3PK,LEDSone UK,545,3,2,1,
140,B096FP59Q2,PLADRR+ICST64E27603PK,DCVoltage UK,246,1,2,1,
141,B093X4CBSK,,LEDSone UK,2377,10,2,0,
142,B0BNXHF2BR,,DCVoltage UK,688,9,2,0,
143,B08V8MYCZR,,DCVoltage UK,587,4,2,0,
144,B09MSHG25R,,LEDSone UK,554,3,2,0,
145,B0BY38BKBD,,DCVoltage UK,535,6,2,0,
146,B0CL1K1T2T,,DCVoltage UK,301,3,2,0,
147,B0CBLXL9R1,,DCVoltage UK,289,2,2,0,
148,B0CBPB46GY,,DCVoltage UK,228,0,2,0,
149,B0D53DFPS4,,DCVoltage UK,181,2,2,0,
150,B0CFLHNJL9,WCWODV1BM+ICST64E27,LEDSone UK,15,0,1,10,
151,B095SXCLQX,CRSF100BM+PHRI1PBRYB+LSOL220YB+ICST64E27,DCVoltage UK,16,0,1,6,
152,B0DF2P56KZ,CL2BPI,DCVoltage UK,109,1,1,5,
153,B09HN38SMR,CRSF100RE+PHRB1PWR40WH+CGWDWO+LSBS160RE,LEDSone UK,29,1,1,5,
154,B0CBVDKMJK,CRSF2003BM+PHRB1PBR40BM3PK+LSBS160BM3PK,LEDSone UK,8,0,1,5,
155,B0CL6WS7GS,LDCCB22205PK,DCVoltage UK,1,0,1,5,
156,B0B8DVBX4Q,CRSF1204BM,LEDSone UK,145,2,1,4,
157,B0CNCRN767,ENC5769,LEDSone UK,82,1,1,4,
158,B0CNXWQTBX,CRSF100SN+LHNSE27SN+LSDM220SN+ICST64E27,DCVoltage UK,80,0,1,4,
159,B084JRSK7F,PSDS4BMRRE,DCVoltage UK,40,3,1,4,
160,B07QQZ9L5N,12ASIP2060,DCVoltage UK,27,1,1,4,
161,B09CYVVZ4H,ENC1811,DCVoltage UK,439,5,1,3,
162,B0C4LX1VXL,LSLC180BC+RPR44WH,LEDSone UK,312,1,1,3,
163,B0CG5YC965,LSCY290SN2PK+RPR44WH2PK,DCVoltage UK,205,1,1,3,
164,B0DPMBXRPG,LHCTORO,LEDSone UK,139,0,1,3,
165,B0CNCJW179,ENC5771,LEDSone UK,42,0,1,3,
166,B0G13VQY86,PHFSH1PBRBM+LSMS320BU,DCVoltage UK,27,1,1,3,
167,B0CP9GBQHY,ENC1284,DCVoltage UK,27,0,1,3,
168,B0G4QPLQQT,PCDO20SN2PK,LEDSone UK,7,0,1,3,
169,B0GGQWCF1K,CRFF100CO+PHUP1PBRCO+CNT900CO,DCVoltage UK,7,0,1,3,
170,B08FXC7DRQ,LSFT220BG+RPR44WH,DCVoltage UK,1,0,1,3,
171,B09V8B8RJF,CRSF2003BM+PHHN1PBRGD3PK+LSDO210YE3PK,LEDSone UK,779,5,1,2,
172,B0G616NMFD,CRSF100BM+PHNW1RBM,LEDSone UK,584,2,1,2,
173,B0F9YQB852,LSMS320SE+RPR44WH,LEDSone UK,554,1,1,2,
174,B08WRLCTQK,PHCT1BMRBM+PHBA1BMRBM+LSYG410GY,DCVoltage UK,472,2,1,2,
175,B0BNXK9R1L,CRSF100CO+PHSH1PBRCO+LSDM220CO+LDWWE2715,DCVoltage UK,293,0,1,2,
176,B0DSC1CVFJ,LSDO400RE2PK+RPR44WH2PK,DCVoltage UK,274,2,1,2,
177,B08WLZZC5C,CRSF100CO+PHMU1PBRCO+LSDM220CO,DCVoltage UK,238,1,1,2,
178,B0FZSF36HG,CRSF100BM+LHNSE27BM+LSSS300GY,LEDSone UK,174,2,1,2,
179,B0D6KMPC9W,LSCY290GB2PK+RPR44WH2PK,DCVoltage UK,136,0,1,2,
180,B0FZSNXKMJ,CRSF100BM+LHNSE27BM+LSSS300BB,LEDSone UK,128,1,1,2,
181,B0G5ZRFC58,CRSF100BM+PHNW1RBM+ICST64E27,LEDSone UK,89,0,1,2,
182,B0CB11TSJY,CRSF120BM+PHNW2RBM+SPUPBM+ICST64E27,DCVoltage UK,87,0,1,2,
183,B07WZTXD29,CRSF100YB,DCVoltage UK,80,0,1,2,
184,B0GGQYC117,CRFF100GB+PHUP1PBRGB+CNT900GB,DCVoltage UK,53,0,1,2,
185,B0DCBKL2DF,IMCWEPK,DCVoltage UK,50,0,1,2,
186,B0F2T3T2CQ,LSMS320BG+RPR44WH,LEDSone UK,46,0,1,2,
187,B0CWNZPC49,CRFF140SN+WSNW170SN+LSMS320GY,LEDSone UK,41,2,1,2,
188,B0CVH4CM39,RWWPSY0660YE,DCVoltage UK,41,0,1,2,
189,B0BX42221D,LSSS300NB+RPR44WH,LEDSone UK,41,0,1,2,
190,B0CWRLFPGX,TPHTTF2PBRBM+WCB5BM,LEDSone UK,40,0,1,2,
191,B0DVLV3QCW,PHCH1FBRBM+LSHQ180BG,LEDSone UK,40,0,1,2,
192,B0CF5M4665,ENC3241,LEDSone UK,38,0,1,2,
193,B0CSFG25HB,PHCT1BMRBM+PHBA1BMRBM+LSYG410BI,DCVoltage UK,38,0,1,2,
194,B0CDLVQNNV,WLRPE27BM3PK+LDA60E278WW3PK,LEDSone UK,37,0,1,2,
